Title,Labels,Reviewers,Assignees,Comments,Opened time,Closed time,Number of commits,Number of changed files,Number of participants
Moe Sync,cla: no internal-sync,,,"ronshapiro: This code has been reviewed and submitted internally. Feel free to discuss on the PR and we can submit follow-up changes as necessary.
Commits:
 Add missing description tags to guava-parent poms.
We were previously apparently inheriting them from sonatype-oss-parent, until we removed that. Releases don't work without a description. ""Invalid POM: /com/google/guava/guava-parent/28.0-android/guava-parent-28.0-android.pom: Project description missing""
a0a7f8c

 Fix typo in 'stoppingCount' variable name
Fixes #3500
e8e771a

 Split catch() blocks so that javac doesn't generate a reference to their common supertype, ReflectiveOperationException.
ReflectiveOperationException isn't available on the old versions of Android that we support.
As far as we know, there is no actual problem with these references because no methods are called on them. However, the new version of Animal Sniffer we're updating to will flag them anyway, and I think that avoiding them is the safe thing to do.
Prepares for #3497
93f55d3

 Upgrade animal sniffer version to 1.18
Fixes #3497
a6be15b

 Document default values of builder setters.
f1fa6fa

 Use saturatedToNanos() in CacheBuilder to avoid overflows.
RELNOTES=Use saturatedToNanos() in CacheBuilder to avoid overflows.
f70d866

 Tweaks to the list of Guava features.
02621ad

 Add more @nullables to variadic parameter lists.
RELNOTES=Add more @nullables to variadic parameter lists.
ebe07de

 Halve memory consumption when creating a Bloom filter.
AtomicLongArray(long[]) clones its input, which is a waste when we're passing
in a new array.
RELNOTES=Halve VmPeak when creating a Bloom filter.
f35a0c3

 Use LongMath.saturatedAdd/Subtract in CacheStats.
Fixes #3503
RELNOTES=avoid overflows/underflows in CacheStats
0a0f357.googlebot: So there's good news and bad news.
👍 The good news is that everyone that needs to sign a CLA (the pull request submitter and all commit authors) have done so.  Everything is all good there.
😕 The bad news is that it appears that one or more commits were authored or co-authored by someone other than the pull request submitter.  We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that here in the pull request.
Note to project maintainer: This is a terminal state, meaning the cla/google commit status will not change from this state. It's up to you to confirm consent of all the commit author(s), set the cla label to yes (if enabled on your project), and then merge this pull request when appropriate.
ℹ️ Googlers: Go here for more info.",2019-06-27T14:21:26Z,2019-06-28T10:33:59Z,10,30,9
Update .travis.yml,P3 cla: no type=other,,,"ghatwala: updating power support..googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here (e.g. I signed it!) and we'll verify it.

What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

ℹ️ Googlers: Go here for more info..netdpb: Hi @ghatwala. What issue will this change help to resolve?.ghatwala: Hey @netdpb  , we are just trying to check if this package can run regressions on power too ..netdpb: In order for us to consider it, you have to sign the CLA. Please follow the instructions above..cpovirk: Mass-closing PRs without an accepted CLA. You're welcome to reopen if you get the check to pass. Alternatively, feel free to open a plain issue to describe the change you'd like to see made.",2019-06-26T13:23:32Z,2020-10-05T16:09:44Z,1,1,4
Moe Sync,cla: no internal-sync,,,"ronshapiro: This code has been reviewed and submitted internally. Feel free to discuss on the PR and we can submit follow-up changes as necessary.
Commits:
 Add missing description tags to guava-parent poms.
We were previously apparently inheriting them from sonatype-oss-parent, until we removed that. Releases don't work without a description. ""Invalid POM: /com/google/guava/guava-parent/28.0-android/guava-parent-28.0-android.pom: Project description missing""
4d0d51a

 Fix typo in 'stoppingCount' variable name
Fixes #3500
c7bf11a

 Split catch() blocks so that javac doesn't generate a reference to their common supertype, ReflectiveOperationException.
ReflectiveOperationException isn't available on the old versions of Android that we support.
As far as we know, there is no actual problem with these references because no methods are called on them. However, the new version of Animal Sniffer we're updating to will flag them anyway, and I think that avoiding them is the safe thing to do.
Prepares for #3497
546d084

 Upgrade animal sniffer version to 1.18
Fixes #3497
96a8801

 Document default values of builder setters.
6c5c574

 Use saturatedToNanos() in CacheBuilder to avoid overflows.
RELNOTES=Use saturatedToNanos() in CacheBuilder to avoid overflows.
8622cd8

 Tweaks to the list of Guava features.
6793309.googlebot: So there's good news and bad news.
👍 The good news is that everyone that needs to sign a CLA (the pull request submitter and all commit authors) have done so.  Everything is all good there.
😕 The bad news is that it appears that one or more commits were authored or co-authored by someone other than the pull request submitter.  We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that here in the pull request.
Note to project maintainer: This is a terminal state, meaning the cla/google commit status will not change from this state. It's up to you to confirm consent of all the commit author(s), set the cla label to yes (if enabled on your project), and then merge this pull request when appropriate.
ℹ️ Googlers: Go here for more info.",2019-06-20T22:03:10Z,2019-06-25T20:28:22Z,7,0,7
Update Javadoc of UnsignedBytes.java,cla: yes status=triaged,,cgdecker,"gokaco: UnsignedBytes min() and max() method treat its parameter as unsigned and returns the least and greatest value also too as unsigned respectively. It should be updated in the Javadoc.
Test Case:-
Input:-
import com.google.common.primitives.UnsignedBytes;

class ex{
    static void pr(byte []a) {
        System.out.println(UnsignedBytes.min(a)); // 10 is less than -100 when treated as unsigned
        System.out.println(UnsignedBytes.max(a)); // -100 is greater than 10 when treated as unsigned
    }
    public static void main(String[] args) {
        byte []a={-100,10};
        pr(a);
    }
}

Run it by typing in the terminal:-
javac ex.java
java ex

Output:-
10
-100.googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here (e.g. I signed it!) and we'll verify it.

What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

ℹ️ Googlers: Go here for more info..gokaco: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here (e.g. I signed it!) and we'll verify it.
What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

Googlers: Go here for more info.

I signed it!.googlebot: CLAs look good, thanks!
ℹ️ Googlers: Go here for more info..cgdecker: It looks like we do mention unsignedness in the Javadoc of other methods on the class, so this seems reasonable. I'll try to get this submitted internally soon (with a couple small modifications).",2019-06-19T11:49:34Z,2019-10-31T20:40:18Z,1,0,3
Moe Sync,cla: yes internal-sync,,,"ronshapiro: This code has been reviewed and submitted internally. Feel free to discuss on the PR and we can submit follow-up changes as necessary.
Commits:
 Add missing description tags to guava-parent poms.
We were previously apparently inheriting them from sonatype-oss-parent, until we removed that. Releases don't work without a description. ""Invalid POM: /com/google/guava/guava-parent/28.0-android/guava-parent-28.0-android.pom: Project description missing""
6123f09

 Fix typo in 'stoppingCount' variable name
Fixes #3500
9122cef

 Split catch() blocks so that javac doesn't generate a reference to their common supertype, ReflectiveOperationException.
ReflectiveOperationException isn't available on the old versions of Android that we support.
As far as we know, there is no actual problem with these references because no methods are called on them. However, the new version of Animal Sniffer we're updating to will flag them anyway, and I think that avoiding them is the safe thing to do.
Prepares for #3497
e86764e

 Upgrade animal sniffer version to 1.18
Fixes #3497
3e3c1f9

 Document default values of builder setters.
46a7e55

 Use saturatedToNanos() in CacheBuilder to avoid overflows.
RELNOTES=Use saturatedToNanos() in CacheBuilder to avoid overflows.
3b0729d.googlebot: So there's good news and bad news.
👍 The good news is that everyone that needs to sign a CLA (the pull request submitter and all commit authors) have done so.  Everything is all good there.
😕 The bad news is that it appears that one or more commits were authored or co-authored by someone other than the pull request submitter.  We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that here in the pull request.
Note to project maintainer: This is a terminal state, meaning the cla/google commit status will not change from this state. It's up to you to confirm consent of all the commit author(s), set the cla label to yes (if enabled on your project), and then merge this pull request when appropriate.
ℹ️ Googlers: Go here for more info..googlebot: A Googler has manually verified that the CLAs look good.
(Googler, please make sure the reason for overriding the CLA status is clearly documented in these comments.)
ℹ️ Googlers: Go here for more info.",2019-06-17T21:51:42Z,2019-06-20T01:30:26Z,6,0,7
Fix typo in 'stoppingCount' variable name,cla: yes status=triaged,cpovirk,cpovirk,WilliamCollishaw: No description provided.,2019-06-08T06:10:53Z,2019-06-30T14:58:50Z,1,0,4
Fix typo in 'testFindClassesToTest_ignoreUnderscores' function name,cla: yes,,kluever,"WilliamCollishaw: No description provided..kluever: Thanks, I'll get this submitted internally shortly.",2019-06-08T06:10:26Z,2019-06-10T14:24:54Z,1,0,3
Remove single character string concatenation - EventBus,cla: yes,cgdecker,cgdecker,"WilliamCollishaw: Minor performance improvement.
Stack Overflow discussion on this optimization.cgdecker: The performance impact of this is going to be effectively 0; I don't think it's worth making this change.",2019-06-07T05:20:06Z,2019-06-10T15:43:19Z,1,2,3
Upgrade animal sniffer version to 1.18,cla: yes status=triaged,cpovirk,cpovirk,"WilliamCollishaw: Version 1.18 resolves a JDK8 compatibility issue, resource leak and ends support for JDK 7.WilliamCollishaw: Oops, forgot about the android JDK 7 compilation. Should I remove the upgrade for Android or close PR?.cpovirk: The JDK 7 failure appears to be a case in which Animal Sniffer is catching a real problem (implicit use of ReflectiveOperationException) that it was missing before. That's interesting because I've seen Animal Sniffer catch this problem in the past -- though maybe it was in a different project that was using a newer version?
I'll take care of the fix..cpovirk: Oh, wait: I think what we saw was that Animal Sniffer caught the problem _if a method was called on the ReflectiveOperationException, which is the only scenario in which we'd seen it cause problems in practice. But we reasoned that other references to ReflectiveOperationException could cause problems (maybe for debugging or something) that we just hadn't seen yet, so it's nice that Animal Sniffer detects them now.",2019-06-07T04:33:22Z,2019-06-30T14:58:50Z,1,0,4
Moe Sync,cla: yes internal-sync,,,"ronshapiro: This code has been reviewed and submitted internally. Feel free to discuss on the PR and we can submit follow-up changes as necessary.
Commits:
 Remove `@Beta` from `setFuture`.
RELNOTES=Removed @Beta from setFuture.
2c717c0

 Upgrade maven-gpg-plugin to 1.6
Fixes github.com//pull/3490
c10a164

 Clarify behavior of `ImmutableList#copyOf` for null argument.
Fixes #3485
6f655fb

 Make the incidentEdges() documentation a little bit more clear.
b0a0509

 Simplify implementation of Graphs.reachableNodes()
b917492

 Make the adjacentNodes() documentation a little bit more clear.
7a5a43b

 Delete deprecated callWithTimeout().
fa13235.googlebot: So there's good news and bad news.
👍 The good news is that everyone that needs to sign a CLA (the pull request submitter and all commit authors) have done so.  Everything is all good there.
😕 The bad news is that it appears that one or more commits were authored or co-authored by someone other than the pull request submitter.  We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that here in the pull request.
Note to project maintainer: This is a terminal state, meaning the cla/google commit status will not change from this state. It's up to you to confirm consent of all the commit author(s), set the cla label to yes (if enabled on your project), and then merge this pull request when appropriate.
ℹ️ Googlers: Go here for more info..googlebot: A Googler has manually verified that the CLAs look good.
(Googler, please make sure the reason for overriding the CLA status is clearly documented in these comments.)
ℹ️ Googlers: Go here for more info.",2019-06-06T13:54:32Z,None,7,20,6
LocalCache clean up,cla: yes,,,"WilliamCollishaw: Remove two redundant if statements
Removed some unused imports
Comment grammar fixes.ljacqu: I don‘t really get the point of these changes. To me it seems that this was just the IDE showing up warnings tbh and that it was fixed without really considering if it makes it easier to read or not.nick-someone: I appreciate raising this PR.
In the particular circumstances here, I think we'll keep the if conditions as is, as their current structure makes the conditions they intend to check more clear.
I will fix the typo for 'accommodate' you raised though, thanks!",2019-06-04T06:03:17Z,2019-06-06T15:22:06Z,2,0,4
Upgrade maven-gpg-plugin to 1.6,cla: yes,,,"WilliamCollishaw: Latest maven-gpg-plugin version has been at 1.6 since 2015. Bumping up to this latest version from version 1.1, released in 2010.
Versions bypassed:

1.5
1.4 (unable to find release notes)
1.3 (unable to find release notes)
1.2 (unable to find release notes).nick-someone: Marking as fixed by e3090f0",2019-06-01T20:46:26Z,2019-06-06T15:10:13Z,1,0,3
MapMakerInternalMap - Remove redundant if statement,cla: yes package=collect status=triaged type=enhancement,,cpovirk,WilliamCollishaw: Null check is redundant,2019-06-01T20:17:26Z,2019-06-03T15:25:53Z,2,0,4
Fix Javadoc.,cla: yes,,,AnuragPorwal: No description provided.,2019-05-29T15:52:09Z,2019-06-03T15:25:53Z,2,0,2
Moe Sync,cla: yes internal-sync,,,"ronshapiro: This code has been reviewed and submitted internally. Feel free to discuss on the PR and we can submit follow-up changes as necessary.
Commits:
 Add a link back to the goodtime rate bug.
5750fb6

 Copy Durations.saturatedToNanos(Duration) to package-private c.g.c.u.c.Internal so it can be used by the concurrent package (and in Guava).
#goodtime
568cbb6

 Tighten the GoodTime suppression locations in RateLimiter.
#goodtime
0df55a9

 Add Duration-based overloads to Uninterruptibles.
#goodtime
RELNOTES=Add Duration-based overloads to Uninterruptibles.
e194e75

 Always complete TimeoutFuture, even if toString() throws
6c09c17

 Add Duration-based overloads to MoreExecutors.
#goodtime
RELNOTES=Add Duration-based overloads to MoreExecutors.
e2da132

 Add Duration-based overloads to FluentFuture.
#goodtime
RELNOTES=Add Duration-based overloads to FluentFuture.
7f5390d

 Add Duration-based overloads to Futures.
#goodtime
RELNOTES=Add Duration-based overloads to Futures.
070e07d

 Add Duration-based overloads to AbstractScheduledService.
#goodtime
RELNOTES=Add Duration-based overloads to AbstractScheduledService.
e7a7a1f

 Add Duration-based overloads to Service.
#goodtime
RELNOTES=Add Duration-based overloads to Service.
76718f4

 Add Duration-based overloads to ServiceManager.
#goodtime
RELNOTES=Add Duration-based overloads to ServiceManager.
6c6edfa

 Remove CheckedFuture utilities from util.concurrent.Futures.
d3dcc67

 Add Duration-based overloads to RateLimiter.
#goodtime
RELNOTES=Add Duration-based overloads to RateLimiter.
7aee4f5

 Add Duration-based overload to Monitor.
#goodtime
RELNOTES=Add Duration-based overload to Monitor.
ac540c4

 Define project build source encoding as UTF-8
Closes #3465
196dd9e

 Fix ""Apache License, Version 2.0"" spelling
There are many Java libraries licensed under ""Apache License, Version 2.0"" that do not use its official spelling.
This causes issues like https://issues.apache.org/jira/browse/MPIR-382: with every library defining its own spelling, it's difficult in large projects to have a clear view of all licenses in use.
This PR changes the license spelling to the official one, as advised by Maven developers.
Closes #3471
eb8695c

 Fix Streams.zip documentation typo.
8cc9e91

 Add MediaType for ""application/geo+json"".
via #3243
RELNOTES=Add MediaType for ""application/geo+json"".
b47e9ba

 Upgrade maven-javadoc-plugin to 3.1.0.
Fixes #3478.
34b7a1e

 Add Cross-Origin-Resource-Policy header name constants.
Details https://fetch.spec.whatwg.org/#cross-origin-resource-policy-header
RELNOTES=Add Cross-Origin-Resource-Policy header to library.
161241d

 Fix Javadoc links.
Fixes #3481
86be2d1

 Update documentation to refer correct method name.
https://docs.oracle.com/javase/8/docs/api/java/util/Map.html#getOrDefault-java.lang.Object-V-
RELNOTES=N/A
a6f7253.googlebot: So there's good news and bad news.
👍 The good news is that everyone that needs to sign a CLA (the pull request submitter and all commit authors) have done so.  Everything is all good there.
😕 The bad news is that it appears that one or more commits were authored or co-authored by someone other than the pull request submitter.  We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that here in the pull request.
Note to project maintainer: This is a terminal state, meaning the cla/google commit status will not change from this state. It's up to you to confirm consent of all the commit author(s), set the cla label to yes (if enabled on your project), and then merge this pull request when appropriate.
ℹ️ Googlers: Go here for more info..googlebot: A Googler has manually verified that the CLAs look good.
(Googler, please make sure the reason for overriding the CLA status is clearly documented in these comments.)
ℹ️ Googlers: Go here for more info.",2019-05-28T14:06:37Z,None,22,36,6
Clarify behavior of `ImmutableList#copyOf` for null argument.,cla: yes,,,"AnuragPorwal: No description provided..ljacqu: Afaik this is the behavior of all ImmutableCollection types. The class javadoc on ImmutableList explicitly refers to the ImmutableCollection which mentions this at the top. So these changes don‘t seem necessary..cpovirk: The factories are tested by other automated null tests, so let's not add more tests.
The existing doc is trying to say that the methods reject null elements, but it's saying it poorly, so thanks for raising this. How about this...?
@throws NullPointerException if {@code elements} contains a null element

That skips mentioning that elements itself might be null, but we always skip that, preferring to annotate the parameters that can be null with @Nullable. (Otherwise, nearly all of our methods would have @throws NullPointerException if x, y, or z is null.)",2019-05-26T07:06:57Z,2019-06-06T15:06:20Z,2,1,4
Update documentation to refer correct method name.,cla: yes,,,"AnuragPorwal: https://docs.oracle.com/javase/8/docs/api/java/util/Map.html#getOrDefault-java.lang.Object-V-.googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here (e.g. I signed it!) and we'll verify it.

What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

ℹ️ Googlers: Go here for more info..AnuragPorwal: I signed it!.googlebot: CLAs look good, thanks!
ℹ️ Googlers: Go here for more info..AnuragPorwal: Fixed in 1b6e406 .
Not required anymore.",2019-05-26T04:41:41Z,2019-05-28T23:00:54Z,1,0,2
Replace maven prerequisites with the enforcer plugin,cla: yes,,,"WilliamCollishaw: As of Maven version 3.5 the prerequisites tag was deprecated.
Adds minimum required maven and java version into the parent poms which gets inherited by all children. The deprecated prerequisites tag does not get inherited by children (reference)
Additionally bump the minimum maven version requirement from 3.0.3 to 3.0.5 to prevent the vulnerable version 3.0.4 ever being used.
Sample error messages when invalid versions are used:

Using Java 8 when minimum requirement of Java 11+ is defined:

[INFO] --- maven-enforcer-plugin:3.0.0-M2:enforce (enforce-versions) @ guava-parent ---
[WARNING] Rule 1: org.apache.maven.plugins.enforcer.RequireJavaVersion failed with message:
Detected JDK Version: 1.8.0-212 is not in the allowed range 1.11.0.


Using Maven 3.3.9 when minimum requirement of Maven 3.6+ is defined:

[INFO] --- maven-enforcer-plugin:3.0.0-M2:enforce (enforce-versions) @ guava-parent ---
[WARNING] Rule 0: org.apache.maven.plugins.enforcer.RequireMavenVersion failed with message:
Detected Maven Version: 3.3.9 is not in the allowed range 3.6.

In both cases the build will fail.
Update specific Java version can be specified, for example the following would require Java 8 update 211:
<version>1.8.0-211</version>",2019-05-25T20:01:35Z,2019-06-03T15:25:53Z,2,0,2
RFC1123 Compliant InternetDomainName Test Cases,cla: yes,,,"WilliamCollishaw: RFC1123 compliant InternetDomainName test cases
Add tests to prove URLs with leading digits are valid and containing only digits are valid.
#1872 was resolved at some point from 2014 to now without the issue getting closed. This PR adds test cases proving this issue can be closed.
Some sample real domains from related to these tests would be www.9gag.com and www.9292.nl.WilliamCollishaw: @cpovirk I believe #1872 can be closed now.frank-dspeed: LGTM +1",2019-05-25T17:08:02Z,2019-06-03T15:25:52Z,2,0,3
Fix javadoc links in the Graph package.,cla: yes package=graph status=in-progress status=triaged type=api-docs,,netdpb,"WilliamCollishaw: The following warning was observed when building with JDK 8:
INFO] --- maven-javadoc-plugin:3.0.1:jar (attach-docs) @ guava ---
[INFO] 
4 warnings
[WARNING] Javadoc Warnings
[WARNING] ~/Documents/GitHub/guava/guava/src/com/google/common/graph/GraphBuilder.java:101: warning - Tag @link: can't find Builder in com.google.common.graph.ImmutableGraph
[WARNING] ~/Documents/GitHub/guava/guava/src/com/google/common/graph/NetworkBuilder.java:113: warning - Tag @link: can't find Builder in com.google.common.graph.ImmutableNetwork
[WARNING] ~/Documents/GitHub/guava/guava/src/com/google/common/graph/ValueGraphBuilder.java:107: warning - Tag @link: can't find Builder in com.google.common.graph.ImmutableValueGraph
[WARNING] ~/Documents/GitHub/guava/guava/src/com/google/common/collect/ImmutableTable.java:225: warning - Tag @link: can't find Builder() in com.google.common.collect.ImmutableTable.Builder

Did not edit the ImmutableTable link due to it being fully functional in JDK 11 and it was previously discussed in #2908
The resolved links were not functional in either JDK 8 or 11 prior to this fix..netdpb: Thanks!.jrtom: As the person who wrote the Javadoc, thanks for catching that.  :).WilliamCollishaw: @ronshapiro the author for this PR and #3478 looks wrong.

Also Github doesn't recognize this account as the author, #3465 looks correct though :)
Thanks for the merges..ronshapiro: Looks like @netdpb used the wrong syntax for this. I'm not sure if there's anything we can do to retroactively fix this :-/.WilliamCollishaw: Looks like @netdpb used the wrong syntax for this. I'm not sure if there's anything we can do to retroactively fix this :-/

It can be done with a rebase (reference). Not sure how much work that is on your end though :).netdpb: I'm sorry about that, @WilliamCollishaw..WilliamCollishaw: I'm sorry about that, @WilliamCollishaw.

No worries",2019-05-24T06:16:49Z,2019-05-28T14:48:49Z,1,6,5
Upgrade Maven Javadoc Plugin from 3.0.1 to 3.1.0,P2 cla: yes platform=java11 status=triaged type=enhancement,,,"WilliamCollishaw: Recreated PR from #3476
Upgrade Maven Javadoc Plugin from 3.0.1 to 3.1.0
Additionally added wildcard syntax to the list of excluded package names due to failing without it after the upgrade
Comment from @njhill in PR #3370 notes a javadoc plugin issue with JDK 11 that should be resolved in this most recent version.
The functionality as described in the excludePackageNames documentation  does not work as explained which did previously work in 3.0.1. I raised MJAVADOC-605, which duplicated MJAVADOC-584 explaining the issue and have included a work around for the issue which significantly increased the size of the excludePackageNames list..netdpb: Cool. Merging internally..cpovirk: Yes, thank you!.qingliaowu: Cool",2019-05-21T05:45:33Z,2019-05-28T14:48:48Z,1,0,5
Upgrade Maven Javadoc Plugin to 3.1.0,cla: yes status=triaged,cpovirk,ronshapiro,"WilliamCollishaw: Upgrade Maven Javadoc Plugin from 3.0.1 to 3.1.0
Additionally added wildcard syntax to the list of excluded package names due to failing without it after the upgrade
Comment from @njhill in PR #3370 notes a javadoc plugin issue with JDK 11 that should be resolved in this most recent version..ronshapiro: thanks! I'll import this shortly!.WilliamCollishaw: Butchered this branch, reopened new PR #3478",2019-05-17T00:02:22Z,2019-05-21T05:46:36Z,3,0,4
Merge pull request #1 from google/master,cla: no,,,"runzhigege: 更新.googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here (e.g. I signed it!) and we'll verify it.

What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

ℹ️ Googlers: Go here for more info..ronshapiro: We can't view this without having you sign the CLA. But given that github says there are zero files changed, it looks like this is a mistake. If not, please comment and we'll reopen",2019-05-16T07:57:05Z,2019-05-20T17:55:13Z,2,0,3
Moe Sync,cla: yes internal-sync,,,"ronshapiro: This code has been reviewed and submitted internally. Feel free to discuss on the PR and we can submit follow-up changes as necessary.
Commits:
 Add FakeTicker.advance(Duration) and setAutoIncrementStep(Duration).
#goodtime
RELNOTES=Add FakeTicker.advance(Duration) and setAutoIncrementStep(Duration).
dcb5d43

 Add Queues.drain(BlockingQueue, Collection, int, Duration) and drainUninterruptibly(BlockingQueue, Collection, int, Duration).
RELNOTES=add Duration-based Queues drain methods.
5963112

 Add a new header field ""CDN-Loop"" to httputils.
More details: https://tools.ietf.org/html/rfc8586
RELNOTES=Add CDN-Loop header to library according to RFC8586.
d9f85b4

 Remove app.link from the Public Suffix List.
8fa5570",2019-05-14T21:43:13Z,None,4,0,4
change keyToKeyList from HashMap to LinkedHashMap,cla: no package=collect status=invalid,,kluever,"aikawarazu: in  constructor method ,keyToKeyList was set as HashMap ,keyToKeyList should keep insertion-order   .
like in readObject()  method do : keyToKeyList = Maps.newLinkedHashMap();.googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here (e.g. I signed it!) and we'll verify it.

What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

ℹ️ Googlers: Go here for more info..lowasser: Can you include a test of the public API that fails before and passes after this change?.ronshapiro: Please make sure to sign the CLA - without that, we cannot accept any contributions..cgdecker: The CLA isn't signed and no rationale was provided for making this change, so I'm closing it.",2019-05-14T06:11:21Z,2019-10-02T19:31:08Z,1,0,6
"Fix ""Apache License, Version 2.0"" spelling",cla: yes status=triaged,,ronshapiro,"don-vip: There are many Java libraries licensed under ""Apache License, Version 2.0"" that do not use its official spelling.
This causes issues like https://issues.apache.org/jira/browse/MPIR-382: with every library defining its own spelling, it's difficult in large projects to have a clear view of all licenses in use.
This PR changes the license spelling to the official one, as advised by Maven developers..ronshapiro: Thanks! I'll import this.WilliamCollishaw: This license naming format is used in multiple pom files..don-vip: Thanks! I have amended my commit..ronshapiro: Whoops I already submitted this. I'll submit another..ronshapiro: As an aside - what if you grouped licenses based on URL and not based on title? Wouldn't that dedupe well?",2019-05-13T21:12:18Z,2019-05-28T14:48:48Z,1,0,4
Upgrade maven source plugin from 2.1.2 to 3.1.0,P3 cla: yes status=fixed,,cgdecker,"WilliamCollishaw: Upgrade maven source plugin from 2.1.2 to 3.0.1
Define the version as a maven variable due to the version being referenced more than once
3.0.1 is the latest version and has been available since June, 2016 so appears very stable.
EDIT:
Upgrade maven source plugin from 2.1.2 to 3.1.0
After three years with no change, 3.1.0 was release with minor changes.
Versions bypassed:

3.0.1
3.0.0
2.4
2.3
2.2.1 (unable to find release notes)
2.2  (unable to find release notes).WilliamCollishaw: Updated original description after bumping up one more version.cgdecker: Submitting this change internally, should be synced out later this week.",2019-05-10T04:40:04Z,2019-10-02T21:34:36Z,6,0,4
