Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Cloners),Outward issue link (Container),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Problem/Incident),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Regression),Outward issue link (Required),Outward issue link (Required),Outward issue link (dependent),Outward issue link (dependent),Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Patch Info),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Tags),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
[camel-maven-plugin] Support process forking in camel:run goal,CAMEL-5323,12558968,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,,,mektoub,mektoub,2012/6/1 15:59,2012/7/6 12:23,2021/3/6 6:31,,2.9.2,,,,,Future,,tooling,,,,,,,1,maven,,,,,"It would be nice to have the ability to fork away after a camel context has started. This is extremely useful for people that run integration tests during a maven build. They could fork an embedded camelContext (for example along with activemq:run), start their integrations tests (with soap ui), then later shut down the embedded instance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,23:36.4,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,241196,,,Fri Jul 06 12:23:36 UTC 2012,,,,,,,,0|i026dr:,10635,,,,,,,,,,,,,,,06/Jul/12 12:23;davsclaus;Patches is welcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make file based split / aggregate strategies more generic,CAMEL-5427,12597778,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,gnodet,gnodet,2012/7/6 14:37,2015/7/11 14:10,2021/3/6 6:31,,,,,,,Future,,camel-core,camel-ftp,camel-hdfs,,,,,0,,,,,,"The camel-hdfs component has some nice strategies for aggregating data into files directly on the file system (avoiding to keep data in memory).  Such strategies could be rewritten to be more generic and reusable, allowing them to be used in file based components (file, ftp and others).
This would also allow the camel-hdfs to handle simple file transfers (such as those supported by file and ftp), which is not really the case atm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,241300,,,37:38.0,,,,,,,,0|i0270v:,10739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Graceful cancel running tasks in mutlicast/recipient list when parallel mode and timeout enabled, and timeout was hit",CAMEL-5572,12606377,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,davsclaus,davsclaus,2012/9/6 9:50,2015/7/12 7:18,2021/3/6 6:31,,2.10.0,,,,,Future,,camel-core,,,,,,,1,,,,,,"See nabble
http://camel.465427.n5.nabble.com/recipientList-with-parallelProcessing-how-to-stop-thread-s-tp5718552.html

We should look into improving how to graceful cancel/interrupt existing running tasks, when a timeout was triggered. 

Interrupting a thread may produce interrupt exceptions, and cause error handling to trigger, and also log nasty logs with stacktraces. So we have to find a gentle way to stop processing existing tasks. 

One way is to mark the exchange to stop continuing routing, so the routing engine wont advance processing. This is a gentle way.

And notice we can only do this for currently running threads, if the async routing engine kicked in, then the task can only be cancelled upon re-activation.

Likewise we may add an option to control a window period where we try to graceful stop running tasks, and if not all tasks stopped, then be more aggressively afterwards.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Advanced,,,,,,,,,,,,,,,,,241445,,,50:54.0,,,,,,,,0|i027x3:,10884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
create an XML and namespace without spring in it,CAMEL-5576,12606546,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,jstrachan,jstrachan,2012/9/7 8:41,2019/10/28 14:37,2021/3/6 6:31,,,,,,,3.x,,camel-core,,,,,,,0,,,,,,"the underlying JAXB model of Camel has nothing to do with spring and can be used outside of Spring (e.g. with CDI or Guice or even without any DI frameworks). However traditionally we've got 'spring' in the namespace URI and we package the XSD inside the camel-spring.jar.

maybe we could include the camel-core.xsd in the same jar as the model classes using a more generic name; e.g. URI = ""http://camel.apache.org/schema/core"". Then folks can load and save the XML model of Camel more easily - without requiring camel-spring.jar

When using Camel inside spring we still need the namespace http://camel.apache.org/schema/spring to be supported; but maybe we can do that in the way the blueprint works; by swizzling the namespace URI in the Spring namespace hander?

Then we have a core namespace/xsd, a spring namespace/xsd and a blueprint namespace/xsd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,241449,,,41:03.0,,,,,,,,0|i027xz:,10888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route with autoStartup=false should not pre start services,CAMEL-5695,12610941,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,davsclaus,davsclaus,2012/10/9 7:36,2019/11/4 5:31,2021/3/6 6:31,,2.10.0,,,,,3.x,,camel-core,,,,,,,0,,,,,,"See nabble
http://camel.465427.n5.nabble.com/autoStartup-and-Endpoints-tp5718204.html

We should consider when people specify autoStartup=false for routes, to not pre-warm/start the route services (eg we do this to validate etc.) and also to ensure we can enlist the route itself in JMX so you can start the route from JMX etc.

We would need to figure out to do this in a way so we wont invoke start on the route services prior. But still enlist the route in JMX etc, and do some sanity validation of the route.

There is some services that may do remote connection on start, which end users would like to defer to be executed until the route is manually started.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,245925,,,Sun Jul 28 08:28:21 UTC 2019,,,,,,,,0|i07e5z:,41061,,,,,,,,,,,,,,,"28/Jul/19 08:28;davsclaus;There is lazyStartProducer you can set, and there is the route controller to startup routes in a more controlled way",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-blueprint - Add TransactionErrorHandler,CAMEL-5728,12612933,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,davsclaus,davsclaus,2012/10/22 9:57,2019/8/5 8:04,2021/3/6 6:31,,,,,,,Future,,camel-blueprint,,,,,,,1,,,,,,"We should add a TransactionErrorHandler to camel-blueprint, that uses the TX API without Spring. There ought to be some TX manager from Aries we can leverage for that.
",,,,,,,,,,,,,,,,,,,,,,,,CAMEL-6108,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,250279,,,Tue Feb 28 13:55:55 UTC 2017,,,,,,,,0|i0awrr:,61582,,,,,,,,,,,,,,,"28/Feb/17 13:55;davsclaus;There is a CDI JEE module on the way
https://github.com/apache/camel/pull/1390

That would require some way of making camel-blueprint use that JEE JTA api",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-cxf - Allow to define which operationNames a given consumer services,CAMEL-5884,12624249,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,njiang,davsclaus,davsclaus,2012/12/17 9:55,2015/3/26 13:11,2021/3/6 6:31,,,,,,,Future,,camel-cxf,,,,,,,1,,,,,,"Currently when using a cxf consumer in a route, then all the operations is serviced by this route.

This may confuse some people. As well some may want one route per operation.
We should look into how we can support this.

Today people would need to use the recipient list and direct endpoints to suport this. But many people dont know about this. See this example: http://camel.apache.org/cxf-tomcat-example.html

I guess this is not so easy, as you would then have mutliple routes with the same CXF ""webservice"". But we would like to have this level of indirection.

And then I guess if a operation name is not bound to any route, then a soap fault should be thrown. Or we should allow to let Camel fail on startup saying that operation XXX is not bound to any consumer/route. Or something like that. Or allow people to turn this on|off.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,39:29.9,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,299019,,,Wed Mar 25 23:39:29 UTC 2015,,,,,,,,0|i15y0v:,242812,,,,,,,,,,,,,,,"25/Mar/15 23:39;fmasood;We actually have this problem in of the projects I was doing. In the end, I created a gateway route, which then on the basis of operation names further route to other routes. I made everything configurable so that names of other routes and transport also become customisable. One thing though, I had to write an intercetptor to fetch the soap operation name. This all thing can be done in the cxc component and i am happy to take this lira.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-websocket - Add support for sending to ws error channel,CAMEL-5894,12624463,,Wish,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,,,tcharl,tcharl,2012/12/18 13:24,2015/7/11 13:15,2021/3/6 6:31,,,,,,,Future,,camel-websocket,,,,,,,0,,,,,,"It would be nice to have the ability to route to websocket error channel.

Regards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,15:09.3,,,FALSE,,,,,Moderate,,,,,,,,,,,,,,,,,300012,,,Sat Jul 11 13:15:09 UTC 2015,,,,,,,,0|i165af:,243989,,,,,,,,,,,,,,,"11/Jul/15 13:15;davsclaus;Yeah although you can use Camel's error handler and route to a ws channel of choice that you use as error-channel. Not sure if there is some standard for configured WS to have a specific error channel.

Contributions is welcome to look into this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-quartz - Route policy in clustered mode should issue stop action on running nodes,CAMEL-5927,12626067,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,,,davsclaus,davsclaus,2013/1/4 17:03,2013/8/7 14:52,2021/3/6 6:31,,,,,,,Future,,camel-quartz,,,,,,,0,,,,,,"See nabble
http://camel.465427.n5.nabble.com/Clustered-CronScheduledRoutePolicy-how-to-tp5723377.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,12:13.5,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,302650,,,Thu Jul 25 19:12:13 UTC 2013,,,,,,,,0|i174in:,249700,,,,,,,,,,,,,,,"25/Jul/13 19:12;saltnlight5;Currently Quartz won't let you configure a job to be executed on a specific node in a cluster. So there is no way you can coordinate a Camel route STOP action job to be executed on the START node. There is a request in Quartz Project for this type of feature here: http://jira.terracotta.org/jira/browse/QTZ-258. But until then you will have to roll something of your own.

One solution I can think of is write your own STOP condition route policy apart from Quartz. You can still use Quartz to start it, but once start, you just need a way to detect to stop. For example, if you just need to run for 2 hours, then capture the startup time, then start a countdown etc.

Zemian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add option to scheduled poll consumer to stop batch in case of error,CAMEL-5941,12626551,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,davsclaus,davsclaus,2013/1/8 13:59,2013/1/8 13:59,2021/3/6 6:31,,,,,,,Future,,camel-core,,,,,,,0,,,,,,"See
http://camel.465427.n5.nabble.com/how-to-break-out-of-a-batch-tp5723425.html

We could add a new option {{breakOnError=true|false}}, which is {{false}} by default, to be like now.

This would allow to break out of a batch in case of an error.

Mind that some EIPs such as the aggregator with the completeFromBatchConsumer option would be affected if we break out. Then the ppl would need to have a timeout completion on the aggregator as well, to trigger the completion as the batch was breaked.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,303158,,,59:56.0,,,,,,,,0|i178cn:,250321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-smpp: Support TRX connection mode to the SMSC,CAMEL-5963,12627336,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,muellerc,muellerc,muellerc,2013/1/13 12:47,2018/6/13 7:30,2021/3/6 6:31,,2.10.3,,,,,Future,,camel-smpp,,,,,,,5,,,,,,See http://camel.465427.n5.nabble.com/camel-smpp-in-trx-mode-td5724608.html for details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,51:12.6,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,304109,,,Wed Jun 13 07:30:29 UTC 2018,,,,,,,,0|i17jfb:,252116,,,,,,,,,,,,,,,"19/Jan/13 08:51;davsclaus;Is this not a new functionality, if so then I suggest to avoid backporting to risk causing regressions and side effects.","19/Jun/13 07:04;mayank.gupta;Hi Christian , 

In got stuck in using TRx with camel and its show stopper for our current project , you planned to provide fix in this summer 2013 , can you suggest date when will you release fixed version ? Please help me to get out from this problem.

Regards , 
Mayank","19/Jun/13 21:14;muellerc;I cannot give you dates. I don't know when I can spend my time to work on this issue and get this fixed (I have some more important issues on my list). Also the releases are done by the PMC/committer. It's not only my vote. But I'm confident we get this resolved in summer this year, if we find an solution where the majority agree with (this is the tricky part).

Do you use the smpp component consumer AND producer?
The enhancement for the consumer is simple in my opinion. But for the producer this isn't the case. Imagine the following route definition:
{code:java}
from(""direct:start"")
  .to(""smpp:..."");
{code}

From the camel point of view, you use a producer. But by using TRX, this producer also receives messages.
How we should deal with it? What solution do you have in mind?
Sure, we can register a ""DefaultMessageReceiverListener"" which discards all the messages, but this isn't helpful.","21/Jun/13 10:25;sash_dce@yahoo.com;The inability of the SMPP component to provide TRX support is stopping many of us to not use the component for USSD as most of the gateways in our region just support TRX( with TX sometimes). Anyhow - since this is in the camel roadmap, I am sure you guys will come out with the functionality enhancement. I would only suggest to do this sooner to increase the acceptance of the component. 

Coming back to the discussion - 
1. I think this will apply both to the consumer and the producer. This will mean  that the binding mode is a configurable item (TRX, TX and RX) defaulting to TX for producer and RX for consumer. 
2. As of now the producer and the consumer both have there own SMPPSession. This session should recide with the endpoint and created  by the createProducer/createConsumer only once in case the mode is TRX ( for other modes it will continue to work as it is ) . 
3. While using a TRX mode, the user will have to create an endpoint and then refer the same in the process ( I am not sure on this part and would need your guidance on the same). 
{noformat}
<camelContext xmlns=""http://camel.apache.org/schema/spring"">
  <endpoint id=""trxEndPoint""  uri=""smpp://smppclient@localhost:2775?
           password=password&amp;enquireLinkTimer=3000&amp;transactionTimer=5000&amp;mode=""TRX""/>
  <route>
    <from ref=""trxEndPoint""/>
    <to uri=""jms:incomingOrders""/>
  </route>
  <route>
    <from ref=""jms:incomingOrders""/>
    <to uri=""trxEndPoint""/>
  </route>
</camelContext>
{noformat}

Please guide. 

Thanks, 
Sandeep","17/Nov/13 23:49;hadrian;Camel could support such a scenario. Christian is right that is rather unusual. The Camel model does not preclude one from having consumers and producers sharing a session. There is one caveat to this, it may be possible to have some constraints on the routes, i.e. one must always have multiple routes and respond to messages in a certain way. That however would be a protocol constraint, not camel per se. The configuration of what messages go where would be done via uri configuration.

Unfortunately, I don't have access to a service/account that would allow me to properly test this, but if users are really interested in this feature, please ping here and we could do it together.",16/Apr/15 09:15;doikor;Hi I'm interested in getting the TRX functionality working with camel-smpp. I could do some testing against a simulator and if its working try out it against an actual SMSC system. Though everything I've done against both the selenium-software SMPPSim (http://www.seleniumsoftware.com/user-guide.htm) and OpenSmpp (https://github.com/OpenSmpp/opensmpp) simulators has worked in real production use.,"10/Aug/16 06:26;chathuraka.waas@gmail.com;Hi, i'm working on a project having this exact issue. My SMSC provider is only providing me a connections with TRX and i'm unable to connect. I dont have much knowladge on Apache Camel SMPP component. But i can help you guys to test a fix since i already have the SMCS details with me. Let me know if there's anything i can do to get this fix up. ","11/Aug/16 09:09;almailer;Hi,

I'm also interested in the possibility of TRX mode in camel-smpp (which is really nice btw, thanks!)

My proposed approach would be:

a new producer URI parameter ""transceiverPublishUri"" which specifies 
1) that the producer session will bind with type TRX
2) the producer will register a message listener in which a ProducerTemplate will be used to publish any received messages to the URI specified in the URI parameter.

In this case, an example transceiver route would look like:

{code}
from(""direct:in"")
  .to(""smpp://123@localhost:8065?transceiverPublishUri=direct:transceiverOut"");

from(""direct:transceiverOut"")
  .log(""Received a incoming message (e.g. a delivery receipt)"")
  .stop();
{code}

I'm only just getting started with Camel, so I don't know if this approach has drawbacks. The positives I see is that it should be a small change which is backwards compatible, and it is very clear what will be happening to the messages being returned by the transceiver session. In most cases, where users want just to be able to transmit short messages in a transceiver session, the trivial stop() route will be sufficient for their needs. If there is some long-running processing to do on receipt of a delivery receipt, it can be made asynchronous with a SEDA endpoint (again, up to the consumer of the component to choose according to their needs).

I have access to a SMSC simulator and possibly access to some real SMPP systems for testing, so could report on how that goes. I would appreciate feedback on the approach though.",27/Sep/16 06:26;skshhi;I am also facing the same problem. My SMSC provider also provides me only TRX connection.,13/Jun/18 07:30;nitin.m.gupt;Please mention the workaround in Camel (if any) as this has become a show stopper for me as well.,,,,,,,,,,,,,,,,,,,,,,,,
